PAW protein_summary_9 results file
written: Sat Jun 20 13:37:25 2020

 	=subtotal(109,B6:B8685)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
4311.0	1	sp|Q6GPH6|IPIL1_HUMAN	 	5.8	555	63395	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1 OS=Homo sapiens (Human) OX=9606 GN=ITPRIPL1 PE=1 SV=1	6	6	1.000	2	4	2	4	2.000	4.000	 
4312.0	1	sp|Q6GQQ9|OTU7B_HUMAN	 	17.3	843	92525	OTU domain-containing protein 7B OS=Homo sapiens (Human) OX=9606 GN=OTUD7B PE=1 SV=1	19	19	1.000	8	11	8	11	8.000	11.000	 
4313.0	1	sp|Q6GYQ0|RGPA1_HUMAN	 	14.1	2036	229829	Ral GTPase-activating protein subunit alpha-1 OS=Homo sapiens (Human) OX=9606 GN=RALGAPA1 PE=1 SV=1	36	35	0.972	13	23	13	22	13.000	22.733	sp|Q2PPJ7|RGPA2_HUMAN, sp|Q6GYQ0|RGPA1_HUMAN
4314.0	1	sp|Q6I9Y2|THOC7_HUMAN	 	45.6	204	23743	THO complex subunit 7 homolog OS=Homo sapiens (Human) OX=9606 GN=THOC7 PE=1 SV=3	44	44	1.000	17	27	17	27	17.000	27.000	 
4315.0	1	sp|Q6IA69|NADE_HUMAN	 	15.3	706	79284	Glutamine-dependent NAD(+) synthetase OS=Homo sapiens (Human) OX=9606 GN=NADSYN1 PE=1 SV=3	16	16	1.000	9	7	9	7	9.000	7.000	 
4316.0	1	sp|Q6IA86|ELP2_HUMAN	 	18.5	826	92499	Elongator complex protein 2 OS=Homo sapiens (Human) OX=9606 GN=ELP2 PE=1 SV=2	18	18	1.000	11	7	11	7	11.000	7.000	 
4317.0	1	sp|Q6IAA8|LTOR1_HUMAN	 	46.6	161	17745	Ragulator complex protein LAMTOR1 OS=Homo sapiens (Human) OX=9606 GN=LAMTOR1 PE=1 SV=2	26	26	1.000	11	15	11	15	11.000	15.000	 
4318.0	1	sp|Q6IAN0|DRS7B_HUMAN	 	22.5	325	35119	Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens (Human) OX=9606 GN=DHRS7B PE=1 SV=2	14	14	1.000	9	5	9	5	9.000	5.000	 
4319.0	1	sp|Q6IBS0|TWF2_HUMAN	 	50.1	349	39548	Twinfilin-2 OS=Homo sapiens (Human) OX=9606 GN=TWF2 PE=1 SV=2	81	75	0.926	40	41	34	41	36.519	41.000	sp|Q12792|TWF1_HUMAN, sp|Q6IBS0|TWF2_HUMAN
4320.0	1	sp|Q6IBW4|CNDH2_HUMAN	 	18.2	605	68226	Condensin-2 complex subunit H2 OS=Homo sapiens (Human) OX=9606 GN=NCAPH2 PE=1 SV=1	13	13	1.000	3	10	3	10	3.000	10.000	 
4321.0	1	sp|Q6IC98|GRAM4_HUMAN	 	7.6	578	66407	GRAM domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=GRAMD4 PE=1 SV=1	4	4	1.000	0	4	0	4	0.000	4.000	 
4322.0	1	sp|Q6ICG6|K0930_HUMAN	 	14.6	404	45794	Uncharacterized protein KIAA0930 OS=Homo sapiens (Human) OX=9606 GN=KIAA0930 PE=1 SV=1	9	9	1.000	4	5	4	5	4.000	5.000	 
4323.0	1	sp|Q6IE81|JADE1_HUMAN	 	11.0	842	95532	Protein Jade-1 OS=Homo sapiens (Human) OX=9606 GN=JADE1 PE=1 SV=1	15	13	0.867	6	9	4	9	4.889	9.000	sp|Q6IE81|JADE1_HUMAN, sp|Q9NQC1|JADE2_HUMAN
4324.0	1	sp|Q6IEG0|SNR48_HUMAN	 	22.1	339	39965	U11/U12 small nuclear ribonucleoprotein 48 kDa protein OS=Homo sapiens (Human) OX=9606 GN=SNRNP48 PE=1 SV=2	8	8	1.000	3	5	3	5	3.000	5.000	 
4325.0	1	sp|Q6IMN6|CAPR2_HUMAN	 	3.4	1127	125923	Caprin-2 OS=Homo sapiens (Human) OX=9606 GN=CAPRIN2 PE=1 SV=1	3	3	1.000	0	3	0	3	0.000	3.000	 
4326.0	1	sp|Q6IN84|MRM1_HUMAN	 	33.4	353	38638	rRNA methyltransferase 1, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRM1 PE=1 SV=1	18	18	1.000	9	9	9	9	9.000	9.000	 
4327.0	1	sp|Q6IN85|P4R3A_HUMAN	 	24.7	833	95367	Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens (Human) OX=9606 GN=PPP4R3A PE=1 SV=1	29	17	0.586	14	15	7	10	9.450	12.000	sp|Q5MIZ7|P4R3B_HUMAN, sp|Q6IN85|P4R3A_HUMAN
4328.0	1	sp|Q6IPM2|IQCE_HUMAN	 	5.2	695	77297	IQ domain-containing protein E OS=Homo sapiens (Human) OX=9606 GN=IQCE PE=1 SV=2	3	3	1.000	1	2	1	2	1.000	2.000	 
4329.0	1	sp|Q6IPR1|ETFR1_HUMAN	 	30.0	90	10864	Electron transfer flavoprotein regulatory factor 1 OS=Homo sapiens (Human) OX=9606 GN=ETFRF1 PE=1 SV=2	5	5	1.000	2	3	2	3	2.000	3.000	 
4330.0	1	sp|Q6IPR3|TYW3_HUMAN	 	39.4	259	29794	tRNA wybutosine-synthesizing protein 3 homolog OS=Homo sapiens (Human) OX=9606 GN=TYW3 PE=2 SV=2	12	12	1.000	7	5	7	5	7.000	5.000	 
4331.0	1	sp|Q6IPU0|CENPP_HUMAN	 	8.7	288	33165	Centromere protein P OS=Homo sapiens (Human) OX=9606 GN=CENPP PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
4332.0	1	sp|Q6IQ16|SPOPL_HUMAN	 	5.1	392	44647	Speckle-type POZ protein-like OS=Homo sapiens (Human) OX=9606 GN=SPOPL PE=1 SV=1	2	1	0.500	0	2	0	1	0.000	1.500	sp|O43791|SPOP_HUMAN, sp|Q6IQ16|SPOPL_HUMAN
4333.0	1	sp|Q6IQ20|NAPEP_HUMAN	 	9.2	393	45595	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens (Human) OX=9606 GN=NAPEPLD PE=1 SV=2	5	5	1.000	2	3	2	3	2.000	3.000	 
4334.0	1	sp|Q6IQ21|ZN770_HUMAN	 	4.2	691	80006	Zinc finger protein 770 OS=Homo sapiens (Human) OX=9606 GN=ZNF770 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
4335.0	1	sp|Q6IQ22|RAB12_HUMAN	 	33.6	244	27248	Ras-related protein Rab-12 OS=Homo sapiens (Human) OX=9606 GN=RAB12 PE=1 SV=3	28	20	0.714	14	14	7	13	7.246	13.066	sp|O95716|RAB3D_HUMAN, sp|P20336|RAB3A_HUMAN, sp|P20337|RAB3B_HUMAN, sp|P20338|RAB4A_HUMAN, sp|P20340|RAB6A_HUMAN, sp|P61006|RAB8A_HUMAN, sp|P61018|RAB4B_HUMAN, sp|P61026|RAB10_HUMAN, sp|P61106|RAB14_HUMAN, sp|P62820|RAB1A_HUMAN, sp|Q14964|RB39A_HUMAN, sp|Q15286|RAB35_HUMAN, sp|Q15771|RAB30_HUMAN, sp|Q6IQ22|RAB12_HUMAN, sp|Q86YS6|RAB43_HUMAN, sp|Q92930|RAB8B_HUMAN, sp|Q9H082|RB33B_HUMAN, sp|Q9H0U4|RAB1B_HUMAN, sp|Q9NRW1|RAB6B_HUMAN
4336.0	1	sp|Q6IQ32|ADNP2_HUMAN	 	6.3	1131	122832	Activity-dependent neuroprotector homeobox protein 2 OS=Homo sapiens (Human) OX=9606 GN=ADNP2 PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
4337.0	1	sp|Q6IQ49|SDE2_HUMAN	 	34.1	451	49741	Replication stress response regulator SDE2 OS=Homo sapiens (Human) OX=9606 GN=SDE2 PE=1 SV=1	29	29	1.000	11	18	11	18	11.000	18.000	 
4338.0	1	sp|Q6JQN1|ACD10_HUMAN	 	16.4	1059	118833	Acyl-CoA dehydrogenase family member 10 OS=Homo sapiens (Human) OX=9606 GN=ACAD10 PE=1 SV=1	16	16	1.000	7	9	7	9	7.000	9.000	 
4339.0	1	sp|Q6KB66|K2C80_HUMAN	 	47.3	452	50525	Keratin, type II cytoskeletal 80 OS=Homo sapiens (Human) OX=9606 GN=KRT80 PE=1 SV=2	63	55	0.873	24	39	22	33	22.253	34.165	CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_140|gi|88045|pir||S05602, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q6KB66|K2C80_HUMAN
4340.0	1	sp|Q6KC79|NIPBL_HUMAN	 	21.3	2804	316048	Nipped-B-like protein OS=Homo sapiens (Human) OX=9606 GN=NIPBL PE=1 SV=2	91	91	1.000	48	43	48	43	48.000	43.000	 
4341.0	1	sp|Q6L8Q7|PDE12_HUMAN	 	42.5	609	67351	2',5'-phosphodiesterase 12 OS=Homo sapiens (Human) OX=9606 GN=PDE12 PE=1 SV=2	39	39	1.000	19	20	19	20	19.000	20.000	 
4342.0	1	sp|Q6MZP7|LIN54_HUMAN	 	13.8	749	79493	Protein lin-54 homolog OS=Homo sapiens (Human) OX=9606 GN=LIN54 PE=1 SV=3	11	11	1.000	8	3	8	3	8.000	3.000	 
4343.0	1	sp|Q6MZQ0|PRR5L_HUMAN	 	10.9	368	40835	Proline-rich protein 5-like OS=Homo sapiens (Human) OX=9606 GN=PRR5L PE=1 SV=2	3	3	1.000	2	1	2	1	2.000	1.000	 
4344.0	1	sp|Q6N021|TET2_HUMAN	 	2.9	2002	223809	Methylcytosine dioxygenase TET2 OS=Homo sapiens (Human) OX=9606 GN=TET2 PE=1 SV=3	6	6	1.000	3	3	3	3	3.000	3.000	 
4345.0	1	sp|Q6N043|Z280D_HUMAN	 	6.0	979	109284	Zinc finger protein 280D OS=Homo sapiens (Human) OX=9606 GN=ZNF280D PE=1 SV=3	5	4	0.800	2	3	1	3	1.111	3.000	sp|Q6N043|Z280D_HUMAN, sp|Q8ND82|Z280C_HUMAN
4346.0	1	sp|Q6N063|OGFD2_HUMAN	 	6.6	350	38996	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=OGFOD2 PE=2 SV=2	4	4	1.000	2	2	2	2	2.000	2.000	 
4347.0	1	sp|Q6N069|NAA16_HUMAN	 	17.8	864	101461	N-alpha-acetyltransferase 16, NatA auxiliary subunit OS=Homo sapiens (Human) OX=9606 GN=NAA16 PE=1 SV=2	34	18	0.529	20	14	7	11	8.011	11.314	sp|Q6N069|NAA16_HUMAN, sp|Q9BXJ9|NAA15_HUMAN
4348.0	1	sp|Q6NS38|ALKB2_HUMAN	 	28.0	261	29322	DNA oxidative demethylase ALKBH2 OS=Homo sapiens (Human) OX=9606 GN=ALKBH2 PE=1 SV=1	10	10	1.000	4	6	4	6	4.000	6.000	 
4349.0	1	sp|Q6NSI4|RADX_HUMAN	 	4.7	855	97553	RPA-related protein RADX OS=Homo sapiens (Human) OX=9606 GN=RADX PE=1 SV=2	4	4	1.000	3	1	3	1	3.000	1.000	 
4350.0	1	sp|Q6NSJ2|PHLB3_HUMAN	 	19.7	640	71911	Pleckstrin homology-like domain family B member 3 OS=Homo sapiens (Human) OX=9606 GN=PHLDB3 PE=2 SV=3	12	12	1.000	2	10	2	10	2.000	10.000	 
4351.0	1	sp|Q6NSJ5|LRC8E_HUMAN	 	14.9	796	90246	Volume-regulated anion channel subunit LRRC8E OS=Homo sapiens (Human) OX=9606 GN=LRRC8E PE=1 SV=2	21	21	1.000	8	13	8	13	8.000	13.000	 
4352.0	1	sp|Q6NSW5|DE10B_HUMAN	 	20.4	357	40514	Putative DENN domain-containing protein 10 B OS=Homo sapiens (Human) OX=9606 GN=DENND10P1 PE=5 SV=1	17	17	1.000	7	10	7	10	7.000	10.000	 
4352.0001	1	sp|Q8TCE6|DEN10_HUMAN	redundant	20.4	357	40513	DENN domain-containing protein 10 OS=Homo sapiens (Human) OX=9606 GN=DENND10 PE=1 SV=1	17	17	1.000	7	10	7	10	7.000	10.000	 
4353.0	1	sp|Q6NSZ9|ZSC25_HUMAN	 	19.1	544	61474	Zinc finger and SCAN domain-containing protein 25 OS=Homo sapiens (Human) OX=9606 GN=ZSCAN25 PE=1 SV=3	9	9	1.000	3	6	3	6	3.000	6.000	 
4354.0	1	sp|Q6NT76|HMBX1_HUMAN	 	7.4	420	47278	Homeobox-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=HMBOX1 PE=1 SV=1	3	3	1.000	1	2	1	2	1.000	2.000	 
4355.0	1	sp|Q6NUJ5|PWP2B_HUMAN	 	7.6	590	63966	PWWP domain-containing protein 2B OS=Homo sapiens (Human) OX=9606 GN=PWWP2B PE=1 SV=3	3	3	1.000	0	3	0	3	0.000	3.000	 
4356.0	1	sp|Q6NUK1|SCMC1_HUMAN	 	36.9	477	53354	Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens (Human) OX=9606 GN=SLC25A24 PE=1 SV=2	74	74	1.000	43	31	43	31	43.000	31.000	 
4357.0	1	sp|Q6NUK4|REEP3_HUMAN	 	23.9	255	29264	Receptor expression-enhancing protein 3 OS=Homo sapiens (Human) OX=9606 GN=REEP3 PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
4358.0	1	sp|Q6NUM9|RETST_HUMAN	 	22.3	610	66819	All-trans-retinol 13,14-reductase OS=Homo sapiens (Human) OX=9606 GN=RETSAT PE=1 SV=2	21	21	1.000	14	7	14	7	14.000	7.000	 
4359.0	1	sp|Q6NUN9|ZN746_HUMAN	 	3.3	644	69135	Zinc finger protein 746 OS=Homo sapiens (Human) OX=9606 GN=ZNF746 PE=1 SV=1	3	3	1.000	0	3	0	3	0.000	3.000	 
4359.0001	1	sp|Q6ZMS7|ZN783_HUMAN	redundant	7.5	281	31422	Protein ZNF783 OS=Homo sapiens (Human) OX=9606 GN=ZNF783 PE=1 SV=1	3	3	1.000	0	3	0	3	0.000	3.000	 
4360.0	1	sp|Q6NUP7|PP4R4_HUMAN	 	3.1	873	99451	Serine/threonine-protein phosphatase 4 regulatory subunit 4 OS=Homo sapiens (Human) OX=9606 GN=PPP4R4 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
4361.0	1	sp|Q6NUQ1|RINT1_HUMAN	 	15.7	792	90631	RAD50-interacting protein 1 OS=Homo sapiens (Human) OX=9606 GN=RINT1 PE=1 SV=1	21	21	1.000	12	9	12	9	12.000	9.000	 
4362.0	1	sp|Q6NUQ4|TM214_HUMAN	 	27.9	689	77150	Transmembrane protein 214 OS=Homo sapiens (Human) OX=9606 GN=TMEM214 PE=1 SV=2	47	47	1.000	32	15	32	15	32.000	15.000	 
4363.0	1	sp|Q6NV74|K121L_HUMAN	 	4.5	962	102156	Uncharacterized protein KIAA1211-like OS=Homo sapiens (Human) OX=9606 GN=KIAA1211L PE=1 SV=3	2	2	1.000	0	2	0	2	0.000	2.000	 
4364.0	1	sp|Q6NVV7|CDPF1_HUMAN	 	16.3	123	13877	Cysteine-rich DPF motif domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=CDPF1 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
4365.0	1	sp|Q6NVY1|HIBCH_HUMAN	 	36.0	386	43482	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=HIBCH PE=1 SV=2	47	47	1.000	21	26	21	26	21.000	26.000	 
4366.0	1	sp|Q6NW29|RWDD4_HUMAN	 	31.9	188	21250	RWD domain-containing protein 4 OS=Homo sapiens (Human) OX=9606 GN=RWDD4 PE=1 SV=3	8	8	1.000	3	5	3	5	3.000	5.000	 
4367.0	1	sp|Q6NW34|NEPRO_HUMAN	 	16.9	567	64551	Nucleolus and neural progenitor protein OS=Homo sapiens (Human) OX=9606 GN=NEPRO PE=1 SV=3	14	14	1.000	7	7	7	7	7.000	7.000	 
4368.0	1	sp|Q6NWY9|PR40B_HUMAN	 	12.5	871	99357	Pre-mRNA-processing factor 40 homolog B OS=Homo sapiens (Human) OX=9606 GN=PRPF40B PE=1 SV=1	22	17	0.773	12	10	8	9	8.500	9.180	sp|O75400|PR40A_HUMAN, sp|Q6NWY9|PR40B_HUMAN
4369.0	1	sp|Q6NXE6|ARMC6_HUMAN	 	22.2	501	54141	Armadillo repeat-containing protein 6 OS=Homo sapiens (Human) OX=9606 GN=ARMC6 PE=1 SV=2	26	26	1.000	12	14	12	14	12.000	14.000	 
4370.0	1	sp|Q6NXR4|TTI2_HUMAN	 	27.6	508	56914	TELO2-interacting protein 2 OS=Homo sapiens (Human) OX=9606 GN=TTI2 PE=1 SV=1	25	25	1.000	11	14	11	14	11.000	14.000	 
4371.0	1	sp|Q6NXT1|ANR54_HUMAN	 	10.7	300	32505	Ankyrin repeat domain-containing protein 54 OS=Homo sapiens (Human) OX=9606 GN=ANKRD54 PE=1 SV=2	7	7	1.000	4	3	4	3	4.000	3.000	 
4372.0	1	sp|Q6NXT4|ZNT6_HUMAN	 	8.5	461	51115	Zinc transporter 6 OS=Homo sapiens (Human) OX=9606 GN=SLC30A6 PE=1 SV=2	5	5	1.000	2	3	2	3	2.000	3.000	 
4373.0	1	sp|Q6NXT6|TAPT1_HUMAN	 	7.9	567	64259	Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens (Human) OX=9606 GN=TAPT1 PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
4374.0	1	sp|Q6NYC1|JMJD6_HUMAN	 	30.3	403	46461	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 OS=Homo sapiens (Human) OX=9606 GN=JMJD6 PE=1 SV=1	32	32	1.000	11	21	11	21	11.000	21.000	 
4375.0	1	sp|Q6NYC8|PPR18_HUMAN	 	56.4	613	67942	Phostensin OS=Homo sapiens (Human) OX=9606 GN=PPP1R18 PE=1 SV=1	59	59	1.000	23	36	23	36	23.000	36.000	 
4376.0	1	sp|Q6NZ36|FAP20_HUMAN	 	28.9	180	19868	Fanconi anemia core complex-associated protein 20 OS=Homo sapiens (Human) OX=9606 GN=FAAP20 PE=1 SV=2	3	3	1.000	0	3	0	3	0.000	3.000	 
4377.0	1	sp|Q6NZ67|MZT2B_HUMAN	 	18.4	158	16225	Mitotic-spindle organizing protein 2B OS=Homo sapiens (Human) OX=9606 GN=MZT2B PE=1 SV=1	6	6	1.000	4	2	4	2	4.000	2.000	 
4377.0001	1	sp|Q6P582|MZT2A_HUMAN	redundant	18.4	158	16220	Mitotic-spindle organizing protein 2A OS=Homo sapiens (Human) OX=9606 GN=MZT2A PE=1 SV=2	6	6	1.000	4	2	4	2	4.000	2.000	 
4378.0	1	sp|Q6NZI2|CAVN1_HUMAN	 	41.3	390	43476	Caveolae-associated protein 1 OS=Homo sapiens (Human) OX=9606 GN=CAVIN1 PE=1 SV=1	199	199	1.000	87	112	87	112	87.000	112.000	 
4379.0	1	sp|Q6NZY4|ZCHC8_HUMAN	 	53.9	707	78576	Zinc finger CCHC domain-containing protein 8 OS=Homo sapiens (Human) OX=9606 GN=ZCCHC8 PE=1 SV=2	69	69	1.000	36	33	36	33	36.000	33.000	 
4380.0	1	sp|Q6P087|RUSD3_HUMAN	 	17.4	351	38460	Mitochondrial mRNA pseudouridine synthase RPUSD3 OS=Homo sapiens (Human) OX=9606 GN=RPUSD3 PE=1 SV=3	11	11	1.000	6	5	6	5	6.000	5.000	 
4381.0	1	sp|Q6P0N0|M18BP_HUMAN	 	18.7	1132	129084	Mis18-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=MIS18BP1 PE=1 SV=1	21	21	1.000	5	16	5	16	5.000	16.000	 
4382.0	1	sp|Q6P0Q8|MAST2_HUMAN	 	6.8	1798	196434	Microtubule-associated serine/threonine-protein kinase 2 OS=Homo sapiens (Human) OX=9606 GN=MAST2 PE=1 SV=2	15	10	0.667	6	9	2	8	3.105	8.889	sp|O60307|MAST3_HUMAN, sp|P51812|KS6A3_HUMAN, sp|Q15349|KS6A2_HUMAN, sp|Q15418|KS6A1_HUMAN, sp|Q6P0Q8|MAST2_HUMAN, sp|Q86UE8|TLK2_HUMAN, sp|Q96GX5|GWL_HUMAN, sp|Q9UK32|KS6A6_HUMAN, sp|Q9UKI8|TLK1_HUMAN, sp|Q9Y2H9|MAST1_HUMAN
4383.0	1	sp|Q6P158|DHX57_HUMAN	 	25.8	1386	155603	Putative ATP-dependent RNA helicase DHX57 OS=Homo sapiens (Human) OX=9606 GN=DHX57 PE=1 SV=2	62	61	0.984	36	26	35	26	35.714	26.000	sp|Q6P158|DHX57_HUMAN, sp|Q9NX74|DUS2L_HUMAN
4384.0	1	sp|Q6P161|RM54_HUMAN	 	48.6	138	15819	39S ribosomal protein L54, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPL54 PE=1 SV=1	10	10	1.000	6	4	6	4	6.000	4.000	 
4385.0	1	sp|Q6P179|ERAP2_HUMAN	 	25.9	960	110460	Endoplasmic reticulum aminopeptidase 2 OS=Homo sapiens (Human) OX=9606 GN=ERAP2 PE=1 SV=2	70	70	1.000	35	35	35	35	35.000	35.000	 
4386.0	1	sp|Q6P1A2|MBOA5_HUMAN	 	9.4	487	56034	Lysophospholipid acyltransferase 5 OS=Homo sapiens (Human) OX=9606 GN=LPCAT3 PE=1 SV=1	8	8	1.000	3	5	3	5	3.000	5.000	 
4387.0	1	sp|Q6P1J9|CDC73_HUMAN	 	40.5	531	60576	Parafibromin OS=Homo sapiens (Human) OX=9606 GN=CDC73 PE=1 SV=1	52	52	1.000	26	26	26	26	26.000	26.000	 
4388.0	1	sp|Q6P1K2|PMF1_HUMAN	 	28.8	205	23339	Polyamine-modulated factor 1 OS=Homo sapiens (Human) OX=9606 GN=PMF1 PE=1 SV=2	11	11	1.000	5	6	5	6	5.000	6.000	 
4389.0	1	sp|Q6P1L5|F117B_HUMAN	 	7.3	589	61967	Protein FAM117B OS=Homo sapiens (Human) OX=9606 GN=FAM117B PE=1 SV=2	3	3	1.000	2	1	2	1	2.000	1.000	 
4390.0	1	sp|Q6P1L8|RM14_HUMAN	 	29.7	145	15947	39S ribosomal protein L14, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MRPL14 PE=1 SV=1	10	10	1.000	8	2	8	2	8.000	2.000	 
4391.0	1	sp|Q6P1M0|S27A4_HUMAN	 	28.6	643	72063	Long-chain fatty acid transport protein 4 OS=Homo sapiens (Human) OX=9606 GN=SLC27A4 PE=1 SV=1	37	34	0.919	17	20	16	18	17.000	19.895	sp|Q6P1M0|S27A4_HUMAN, sp|Q6PCB7|S27A1_HUMAN
4392.0	1	sp|Q6P1M3|L2GL2_HUMAN	 	16.3	1020	113447	LLGL scribble cell polarity complex component 2 OS=Homo sapiens (Human) OX=9606 GN=LLGL2 PE=1 SV=2	17	17	1.000	5	12	5	12	5.000	12.000	 
4393.0	1	sp|Q6P1M9|ARMX5_HUMAN	 	10.8	558	62345	Armadillo repeat-containing X-linked protein 5 OS=Homo sapiens (Human) OX=9606 GN=ARMCX5 PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
4394.0	1	sp|Q6P1N0|C2D1A_HUMAN	 	25.9	951	104061	Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens (Human) OX=9606 GN=CC2D1A PE=1 SV=1	36	36	1.000	14	22	14	22	14.000	22.000	 
4395.0	1	sp|Q6P1N9|TATD1_HUMAN	 	50.2	297	33601	Putative deoxyribonuclease TATDN1 OS=Homo sapiens (Human) OX=9606 GN=TATDN1 PE=1 SV=2	68	67	0.985	34	34	33	34	33.943	34.000	sp|P33908|MA1A1_HUMAN, sp|Q6P1N9|TATD1_HUMAN
4396.0	1	sp|Q6P1Q0|LTMD1_HUMAN	 	12.2	360	41790	LETM1 domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=LETMD1 PE=1 SV=1	5	5	1.000	5	0	5	0	5.000	0.000	 
4397.0	1	sp|Q6P1Q9|MET2B_HUMAN	 	32.5	378	43426	tRNA N(3)-methylcytidine methyltransferase METTL2B OS=Homo sapiens (Human) OX=9606 GN=METTL2B PE=1 SV=3	24	3	0.125	13	11	1	2	13.000	8.000	sp|Q6P1Q9|MET2B_HUMAN, sp|Q96IZ6|MET2A_HUMAN
4398.0	1	sp|Q6P1R3|MSD2_HUMAN	 	3.6	559	61319	Myb/SANT-like DNA-binding domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=MSANTD2 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
4399.0	1	sp|Q6P1R4|DUS1L_HUMAN	 	20.9	473	53230	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens (Human) OX=9606 GN=DUS1L PE=1 SV=1	13	13	1.000	5	8	5	8	5.000	8.000	 
4400.0	1	sp|Q6P1X5|TAF2_HUMAN	 	15.7	1199	136970	Transcription initiation factor TFIID subunit 2 OS=Homo sapiens (Human) OX=9606 GN=TAF2 PE=1 SV=3	30	30	1.000	16	14	16	14	16.000	14.000	 
4401.0	1	sp|Q6P1X6|CH082_HUMAN	 	20.8	216	23889	UPF0598 protein C8orf82 OS=Homo sapiens (Human) OX=9606 GN=C8orf82 PE=1 SV=2	9	9	1.000	5	4	5	4	5.000	4.000	 
4402.0	1	sp|Q6P2C8|MED27_HUMAN	 	13.2	311	35431	Mediator of RNA polymerase II transcription subunit 27 OS=Homo sapiens (Human) OX=9606 GN=MED27 PE=1 SV=1	7	7	1.000	4	3	4	3	4.000	3.000	 
4403.0	1	sp|Q6P2E9|EDC4_HUMAN	 	29.6	1401	151660	Enhancer of mRNA-decapping protein 4 OS=Homo sapiens (Human) OX=9606 GN=EDC4 PE=1 SV=1	55	55	1.000	38	17	38	17	38.000	17.000	 
4404.0	1	sp|Q6P2H3|CEP85_HUMAN	 	22.2	762	85638	Centrosomal protein of 85 kDa OS=Homo sapiens (Human) OX=9606 GN=CEP85 PE=1 SV=1	29	26	0.897	8	21	7	19	8.000	20.900	REV_Q9Y2D8, sp|Q6P2H3|CEP85_HUMAN
4405.0	1	sp|Q6P2P2|ANM9_HUMAN	 	9.8	845	94500	Protein arginine N-methyltransferase 9 OS=Homo sapiens (Human) OX=9606 GN=PRMT9 PE=1 SV=1	8	8	1.000	3	5	3	5	3.000	5.000	 
4406.0	1	sp|Q6P2Q9|PRP8_HUMAN	 	37.4	2335	273597	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens (Human) OX=9606 GN=PRPF8 PE=1 SV=2	265	265	1.000	173	92	173	92	173.000	92.000	 
4407.0	1	sp|Q6P3W7|SCYL2_HUMAN	 	21.5	929	103708	SCY1-like protein 2 OS=Homo sapiens (Human) OX=9606 GN=SCYL2 PE=1 SV=1	38	38	1.000	20	18	20	18	20.000	18.000	 
4408.0	1	sp|Q6P3X3|TTC27_HUMAN	 	33.7	843	96631	Tetratricopeptide repeat protein 27 OS=Homo sapiens (Human) OX=9606 GN=TTC27 PE=1 SV=1	54	54	1.000	26	28	26	28	26.000	28.000	 
4409.0	1	sp|Q6P444|MTFR2_HUMAN	 	20.3	385	43384	Mitochondrial fission regulator 2 OS=Homo sapiens (Human) OX=9606 GN=MTFR2 PE=1 SV=2	12	12	1.000	3	9	3	9	3.000	9.000	 
4410.0	1	sp|Q6P4A7|SFXN4_HUMAN	 	13.1	337	37998	Sideroflexin-4 OS=Homo sapiens (Human) OX=9606 GN=SFXN4 PE=1 SV=1	8	8	1.000	4	4	4	4	4.000	4.000	 
